"2018-11-29 16:10:51","f4:5c:89:8d:58:85","samuel","outlook.ms-acdc.office.com","TCP","192.168.14.23","53803","40.100.29.18","443"
"2018-11-29 16:10:51","f4:5c:89:8d:58:85","samuel","outlook.ms-acdc.office.com","TCP","192.168.14.23","53804","52.98.70.130","443"
"2018-11-29 16:10:52","f4:5c:89:8d:58:85","samuel","outlook.ms-acdc.office.com","TCP","192.168.14.23","53805","40.100.29.18","443"
"2018-11-29 16:11:18","f4:5c:89:8d:58:85","samuel","outlook.ha.office365.com","TCP","192.168.14.23","53808","40.100.57.210","443"
"2018-11-29 16:11:18","f4:5c:89:8d:58:85","samuel","outlook.ha.office365.com","TCP","192.168.14.23","53809","40.100.57.210","443"
"2018-11-29 16:11:18","f4:5c:89:8d:58:85","samuel",,"TCP","192.168.14.23","53753","52.98.84.114","443"
"2018-11-29 16:11:18","f4:5c:89:8d:58:85","samuel",,"TCP","192.168.14.23","53754","52.98.84.114","443"
"2018-11-29 16:11:19","f4:5c:89:8d:58:85","samuel","outlook.ha.office365.com","TCP","192.168.14.23","53810","40.100.57.210","443"
"2018-11-29 16:11:20","04:d6:aa:3d:4c:3b","nara","np.tritondigital.com","TCP","192.168.14.17","46593","192.173.28.225","80"
"2018-11-29 16:11:28","f4:5c:89:8d:58:85","samuel","outlook.ha.office365.com","TCP","192.168.14.23","53811","40.100.57.210","443"
"2018-11-29 16:11:33","f4:5c:89:8d:58:85","samuel","2-edge-chat.messenger.com","TCP","192.168.14.23","53812","157.240.13.14","443"
"2018-11-29 16:11:51","04:d6:aa:3d:4c:3b","nara","np.tritondigital.com","TCP","192.168.14.17","46595","192.173.28.225","80"
"2018-11-29 16:11:52","f4:5c:89:8d:58:85","samuel","outlook.ha.office365.com","TCP","192.168.14.23","53813","40.100.29.210","443"
"2018-11-29 16:11:53","f4:5c:89:8d:58:85","samuel","outlook.ha.office365.com","TCP","192.168.14.23","53814","40.100.29.210","443"
"2018-11-29 16:11:53","f4:5c:89:8d:58:85","samuel","outlook.ha.office365.com","TCP","192.168.14.23","53815","40.100.29.210","443"
